x,y,t
0,480,6.569
0,480,6.584
0,480,6.603
0,480,6.62
0,480,6.637
0,480,6.655
0,480,6.673
0,480,6.691
0,480,6.708
0,480,6.734
0,480,6.744
0,480,6.768
0,480,6.78
0,480,6.803
0,480,6.815
0,480,6.833
0,480,6.851
0,480,6.869
0,480,6.886
0,480,6.904
0,480,6.922
0,480,6.939
0,480,6.958
0,480,6.975
0,480,7
0,480,7.011
0,480,7.032
0,480,7.046
0,480,7.068
0,480,7.082
0,480,7.1
0,480,7.117
0,480,7.135
0,480,7.153
0,480,7.17
0,480,7.188
0,480,7.206
0,480,7.231
0,480,7.241
0,480,7.268
0,480,7.277
0,480,7.299
0,480,7.313
0,480,7.332
0,480,7.348
0,480,7.367
0,480,7.384
0,480,7.401
0,480,7.42
0,480,7.437
0,480,7.455
0,480,7.473
0,480,7.491
0,480,7.508
0,480,7.532
0,480,7.544
0,480,7.567
0,480,7.58
0,480,7.6
0,480,7.615
0,480,7.633
0,480,7.651
0,480,7.669
0,480,7.686
0,480,7.704
0,480,7.722
0,480,7.739
0,480,7.757
0,480,7.775
0,480,7.8
0,480,7.81
0,480,7.831
0,480,7.846
0,480,7.868
0,480,7.881
0,480,7.899
0,480,7.917
0,480,7.934
0,480,7.953
0,480,7.97
0,480,7.988
0,480,8.006
0,480,8.031
0,480,8.042
0,480,8.059
0,480,8.076
0,480,8.099
0,480,8.112
0,480,8.132
0,480,8.148
0,480,8.167
0,480,8.183
0,480,8.201
0,480,8.219
0,480,8.236
0,480,8.255
0,480,8.272
0,480,8.29
0,480,8.307
0,480,8.326
0,480,8.343
0,480,8.367
0,480,8.379
0,480,8.402
0,480,8.414
0,480,8.437
0,480,8.45
0,480,8.47
0,480,8.485
0,480,8.503
0,480,8.521
0,480,8.538
x,y,t
0,48,0
0,96,0.038
0,144,0.04
0,192,0.04
0,240,0.04
0,288,0.04
0,336,0.04
0,384,0.04
0,432,0.04
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.041
0,480,0.058
0,480,0.058
0,480,0.058
0,480,0.074
0,480,0.089
0,480,0.107
0,480,0.125
0,480,0.143
0,480,0.16
0,480,0.179
0,480,0.196
0,480,0.217
0,480,0.232
0,480,0.253
0,480,0.271
0,480,0.285
0,480,0.303
0,480,0.321
0,480,0.339
0,480,0.357
0,480,0.375
0,480,0.393
0,480,0.411
0,480,0.428
0,480,0.446
0,480,0.464
0,480,0.485
0,480,0.5
0,480,0.518
0,480,0.536
0,480,0.554
0,480,0.572
0,480,0.589
0,480,0.607
0,480,0.625
0,480,0.644
0,480,0.661
0,480,0.679
0,480,0.697
0,480,0.716
0,480,0.732
0,480,0.753
0,480,0.768
0,480,0.786
0,480,0.804
0,480,0.822
0,480,0.842
0,480,0.858
0,480,0.876
0,480,0.894
0,480,0.912
0,480,0.931
0,480,0.947
0,480,0.965
0,480,0.984
0,480,1.001
0,480,1.019
0,480,1.037
0,480,1.055
0,480,1.073
0,480,1.091
0,480,1.109
0,480,1.126
0,480,1.145
0,480,1.162
0,480,1.184
0,480,1.198
0,480,1.217
0,480,1.234
0,480,1.252
0,480,1.269
0,480,1.287
0,480,1.305
0,480,1.324
0,480,1.341
0,480,1.359
0,480,1.377
0,480,1.395
0,480,1.417
0,480,1.431
0,480,1.455
0,480,1.466
0,480,1.485
0,480,1.502
0,480,1.521
0,480,1.538
0,480,1.556
0,480,1.574
0,480,1.591
0,480,1.609
0,480,1.627
0,480,1.645
0,480,1.663
0,480,1.684
0,480,1.699
0,480,1.719
0,480,1.735
0,480,1.753
x,y,t
0,48,0
0,96,0.034
0,144,0.07
0,192,0.071
0,240,0.079
0,288,0.097
0,336,0.115
0,384,0.132
0,432,0.15
0,480,0.168
0,480,0.186
0,480,0.205
0,480,0.222
0,480,0.24
0,480,0.258
0,480,0.276
0,480,0.293
0,480,0.311
0,480,0.329
0,480,0.354
0,480,0.364
0,480,0.383
0,480,0.401
0,480,0.419
0,480,0.436
0,480,0.455
0,480,0.474
0,480,0.49
0,480,0.508
0,480,0.533
0,480,0.544
0,480,0.562
0,480,0.58
0,480,0.598
0,480,0.616
0,480,0.634
0,480,0.652
0,480,0.67
0,480,0.688
0,480,0.706
0,480,0.724
0,480,0.742
0,480,0.762
0,480,0.777
0,480,0.796
0,480,0.816
0,480,0.831
0,480,0.849
0,480,0.867
0,480,0.885
0,480,0.903
0,480,0.921
0,480,0.939
0,480,0.957
0,480,0.975
0,480,0.993
0,480,1.011
0,480,1.029
0,480,1.046
0,480,1.065
0,480,1.083
0,480,1.105
0,480,1.119
0,480,1.137
0,480,1.158
0,480,1.172
0,480,1.19
0,480,1.209
0,480,1.226
0,480,1.244
0,480,1.262
0,480,1.283
0,480,1.298
0,480,1.316
0,480,1.337
0,480,1.352
0,480,1.37
0,480,1.395
0,480,1.407
0,480,1.424
0,480,1.442
0,480,1.459
0,480,1.477
0,480,1.496
0,480,1.513
0,480,1.532
0,480,1.55
0,480,1.567
0,480,1.585
0,480,1.603
0,480,1.624
0,480,1.639
0,480,1.657
0,480,1.677
0,480,1.693
0,480,1.711
0,480,1.729
0,480,1.747
0,480,1.765
0,480,1.783
0,480,1.803
0,480,1.819
0,480,1.837
0,480,1.855
0,480,1.873
0,480,1.891
0,480,1.909
0,480,1.927
0,480,1.945
0,480,1.966
0,480,1.98
0,480,1.999
0,480,2.019
0,480,2.034
0,480,2.052
0,480,2.071
0,480,2.088
0,480,2.107
0,480,2.125
